page;component;type;x;y;width;height;notes
homeyportal;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
homeyportal;hdr_icon;Text;48;4;32;32;icon font
homeyportal;hdr_title;Text;84;4;250;32;page title
homeyportal;hdr_time;Text;390;4;80;32;HH:MM
homeyportal;nav_home;Hotspot;0;282;120;38;go homeyportal
homeyportal;nav_back;Hotspot;360;282;120;38;go previous page
room_lights;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
room_lights;hdr_icon;Text;48;4;32;32;icon font
room_lights;hdr_title;Text;84;4;250;32;page title
room_lights;hdr_time;Text;390;4;80;32;HH:MM
room_lights;nav_home;Hotspot;0;282;120;38;go homeyportal
room_lights;nav_back;Hotspot;360;282;120;38;go previous page
room_devices;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
room_devices;hdr_icon;Text;48;4;32;32;icon font
room_devices;hdr_title;Text;84;4;250;32;page title
room_devices;hdr_time;Text;390;4;80;32;HH:MM
room_devices;nav_home;Hotspot;0;282;120;38;go homeyportal
room_devices;nav_back;Hotspot;360;282;120;38;go previous page
climate_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
climate_homey;hdr_icon;Text;48;4;32;32;icon font
climate_homey;hdr_title;Text;84;4;250;32;page title
climate_homey;hdr_time;Text;390;4;80;32;HH:MM
climate_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
climate_homey;nav_back;Hotspot;360;282;120;38;go previous page
scenes_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
scenes_homey;hdr_icon;Text;48;4;32;32;icon font
scenes_homey;hdr_title;Text;84;4;250;32;page title
scenes_homey;hdr_time;Text;390;4;80;32;HH:MM
scenes_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
scenes_homey;nav_back;Hotspot;360;282;120;38;go previous page
ev_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
ev_homey;hdr_icon;Text;48;4;32;32;icon font
ev_homey;hdr_title;Text;84;4;250;32;page title
ev_homey;hdr_time;Text;390;4;80;32;HH:MM
ev_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
ev_homey;nav_back;Hotspot;360;282;120;38;go previous page
battery_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
battery_homey;hdr_icon;Text;48;4;32;32;icon font
battery_homey;hdr_title;Text;84;4;250;32;page title
battery_homey;hdr_time;Text;390;4;80;32;HH:MM
battery_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
battery_homey;nav_back;Hotspot;360;282;120;38;go previous page
media_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
media_homey;hdr_icon;Text;48;4;32;32;icon font
media_homey;hdr_title;Text;84;4;250;32;page title
media_homey;hdr_time;Text;390;4;80;32;HH:MM
media_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
media_homey;nav_back;Hotspot;360;282;120;38;go previous page
door_homey;hdr_back;Hotspot;0;0;42;40;"Back; hidden on homeyportal"
door_homey;hdr_icon;Text;48;4;32;32;icon font
door_homey;hdr_title;Text;84;4;250;32;page title
door_homey;hdr_time;Text;390;4;80;32;HH:MM
door_homey;nav_home;Hotspot;0;282;120;38;go homeyportal
door_homey;nav_back;Hotspot;360;282;120;38;go previous page
